Year,City,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Motor Theft,Arson,Total
2019,Rolling Hills,1868,1,0,0,0,1,8,6,2,0,0,18
2019,Rolling Hills Estates,8151,10,0,0,3,7,126,35,82,9,1,273
2019,Rosemead,54489,175,1,11,74,89,942,196,552,194,8,2242
2019,Roseville,141744,259,4,32,96,127,3154,389,2518,247,19,6845
2019,Ross,2470,2,0,0,0,2,25,5,19,1,0,54
2019,Sacramento,513934,3223,34,127,1039,2023,16354,2993,10644,2717,179,39333
2019,Salinas,156943,782,8,66,241,467,3532,742,1709,1081,26,8654
2019,San Bernardino,216715,2858,46,140,906,1766,9081,2029,4974,2078,75,23953
2019,San Bruno,43297,138,0,17,34,87,1139,116,948,75,5,2559
2019,San Clemente,65018,87,1,3,29,54,918,160,700,58,4,2014
2019,Sand City,407,9,0,0,2,7,77,4,70,3,0,172
2019,San Diego,1441737,5215,50,561,1346,3258,27141,3543,18426,5172,122,64834
2019,San Dimas,34059,78,0,15,15,48,833,113,659,61,1,1823
2019,San Fernando,24621,80,1,4,25,50,243,52,112,79,2,648
2019,San Francisco,886007,5933,40,324,3055,2514,48780,4644,39887,4249,275,109701
2019,San Gabriel,40422,98,0,2,58,38,715,202,468,45,3,1629
2019,Sanger,25443,156,0,9,15,132,304,59,178,67,0,920
2019,San Jacinto,49452,108,2,1,68,37,1637,334,1018,285,5,3495
2019,San Jose,1040008,4559,32,671,1339,2517,25164,4114,14924,6126,135,59581
2019,San Juan Capistrano,36209,63,2,4,20,37,297,69,201,27,2,722
2019,San Leandro,90297,454,0,18,283,153,4105,375,2941,789,16,9134
2019,San Luis Obispo,47735,192,0,44,34,114,1738,277,1387,74,25,3885
2019,San Marcos,98598,193,0,17,46,130,955,163,649,143,3,2299
2019,San Marino,13196,14,0,1,3,10,208,77,126,5,0,444
2019,San Mateo,106020,266,2,45,68,151,2217,516,1523,178,9,4975
2019,San Pablo,31336,194,2,7,102,83,1009,101,589,319,11,2417
2019,San Rafael,58819,230,0,23,87,120,1686,299,1173,214,13,3845
2019,San Ramon,76387,58,0,4,21,33,1099,179,869,51,3,2317
2019,Santa Ana,333664,1453,13,207,472,761,6808,854,4611,1343,49,16571
2019,Santa Barbara,91717,400,2,72,82,244,2118,254,1686,178,15,5051
2019,Santa Clara,131173,214,0,35,73,106,4748,363,4013,372,18,9942
2019,Santa Clarita,218103,277,2,49,89,137,2059,392,1448,219,17,4689
2019,Santa Cruz,65263,389,0,29,88,272,2932,348,2363,221,34,6676
2019,Santa Fe Springs,18041,105,2,10,42,51,1035,205,654,176,6,2286
2019,Santa Monica,91621,664,3,40,247,374,3964,577,3143,244,19,9275
2019,Santa Paula,30098,91,2,6,21,62,404,103,272,29,3,993
2019,Santa Rosa,177884,857,3,146,126,582,2874,486,2077,311,28,7490
2019,Santee,58701,98,0,8,29,61,806,74,659,73,7,1815
2019,Saratoga,30666,16,0,4,2,10,240,104,122,14,5,517
2019,Sausalito,7118,7,0,0,1,6,258,21,224,13,0,530
2019,Scotts Valley,11875,13,0,2,1,10,141,31,102,8,2,310
2019,Seal Beach,24120,19,0,1,10,8,551,62,458,31,0,1140
